brand,year,km_driven,fuel_type,transmission,price
Toyota,2012,9324,Petrol,Automatic,745000.0
Tata,2016,81323,Petrol,Automatic,787000.0
Honda,2018,14111,CNG,Automatic,916000.0
Tata,2021,21389,CNG,Automatic,977000.0
Tata,2021,127177,Diesel,Automatic,1005000.0
Hyundai,2017,46427,CNG,Manual,676000.0
Honda,2016,127883,Diesel,Manual,735000.0
Honda,2015,136189,CNG,Manual,583000.0
Honda,2013,130808,Petrol,Manual,555000.0
Tata,2015,117221,Diesel,Manual,610000.0
Toyota,2021,18234,Diesel,Automatic,1125000.0
Honda,2021,58441,Diesel,Manual,988000.0
Mahindra,2014,5846,Petrol,Manual,632000.0
Tata,2021,15954,Petrol,Manual,941000.0
Hyundai,2012,84239,Petrol,Manual,477000.0
Toyota,2019,51514,Petrol,Manual,868000.0
Mahindra,2016,93236,Petrol,Manual,650000.0
Mahindra,2015,102579,Diesel,Manual,688000.0
Hyundai,2019,142541,Petrol,Automatic,894000.0
Toyota,2018,47101,Diesel,Automatic,1001000.0
Tata,2013,69323,Petrol,Manual,562000.0
Maruti,2012,96922,CNG,Automatic,562000.0
Toyota,2023,132534,Diesel,Automatic,1220000.0
Hyundai,2022,72584,CNG,Automatic,1057000.0
Mahindra,2015,109537,Diesel,Automatic,804000.0
Tata,2019,83477,CNG,Manual,723000.0
Toyota,2023,47533,Petrol,Automatic,1174000.0
Maruti,2013,6828,Petrol,Automatic,686000.0
Maruti,2014,6917,Petrol,Automatic,752000.0
Honda,2023,25618,Diesel,Manual,1033000.0
Honda,2012,37254,CNG,Manual,535000.0
Hyundai,2012,110292,Petrol,Manual,461000.0
Toyota,2014,52362,CNG,Manual,614000.0
Toyota,2022,25128,CNG,Manual,977000.0
Mahindra,2016,128781,Petrol,Manual,577000.0
Mahindra,2023,70545,Petrol,Manual,1007000.0
Mahindra,2014,87180,CNG,Automatic,661000.0
Honda,2012,92958,Petrol,Automatic,682000.0
Toyota,2012,145937,Petrol,Automatic,732000.0
Toyota,2019,138291,Petrol,Manual,805000.0
Maruti,2021,44809,Diesel,Manual,819000.0
Honda,2022,121748,CNG,Manual,876000.0
Tata,2023,10287,CNG,Manual,899000.0
Honda,2023,13512,Diesel,Manual,995000.0
Tata,2013,137414,CNG,Automatic,620000.0
Maruti,2014,113872,Petrol,Automatic,679000.0
Hyundai,2013,98070,CNG,Manual,545000.0
Toyota,2014,84767,Petrol,Manual,624000.0
Maruti,2018,102829,Diesel,Manual,691000.0
Toyota,2012,47078,Petrol,Manual,584000.0
Mahindra,2021,111288,CNG,Automatic,962000.0
Hyundai,2019,88524,CNG,Manual,783000.0
Hyundai,2021,17219,CNG,Manual,914000.0
Maruti,2021,5235,Diesel,Manual,944000.0
Hyundai,2021,47929,Diesel,Manual,944000.0
Tata,2013,132309,CNG,Automatic,638000.0
Hyundai,2014,72444,Petrol,Manual,575000.0
Toyota,2020,144639,Diesel,Manual,923000.0
Toyota,2018,106834,CNG,Automatic,891000.0
Toyota,2015,89555,CNG,Automatic,817000.0
Toyota,2021,78698,Diesel,Automatic,1143000.0
Tata,2016,129450,Diesel,Manual,717000.0
Honda,2013,141487,Diesel,Manual,592000.0
Mahindra,2022,48925,Petrol,Automatic,1068000.0
Maruti,2019,142023,Petrol,Automatic,866000.0
Toyota,2015,92388,CNG,Automatic,800000.0
Hyundai,2020,13007,Diesel,Automatic,1039000.0
Toyota,2016,63596,Petrol,Automatic,937000.0
Hyundai,2020,126101,Diesel,Automatic,978000.0
Mahindra,2015,93861,CNG,Manual,543000.0
Mahindra,2021,91740,Petrol,Manual,875000.0
Mahindra,2016,20524,Petrol,Manual,724000.0
Hyundai,2020,136149,Petrol,Automatic,938000.0
Toyota,2019,130501,CNG,Automatic,942000.0
Mahindra,2014,25611,Diesel,Automatic,816000.0
Tata,2012,19060,Petrol,Automatic,639000.0
Hyundai,2014,48303,CNG,Automatic,702000.0
Hyundai,2015,44711,Diesel,Automatic,874000.0
Toyota,2013,148026,CNG,Manual,574000.0
Hyundai,2012,78340,Diesel,Manual,600000.0
Hyundai,2018,107974,CNG,Automatic,818000.0
Mahindra,2019,145256,Diesel,Manual,782000.0
Toyota,2018,72728,Petrol,Automatic,982000.0
Mahindra,2016,16246,Diesel,Manual,714000.0
Mahindra,2023,132796,CNG,Automatic,1053000.0
Toyota,2012,97263,CNG,Automatic,728000.0
Maruti,2018,140090,Diesel,Manual,702000.0
Mahindra,2018,16302,Petrol,Manual,773000.0
Tata,2020,72506,Petrol,Automatic,997000.0
Tata,2014,46157,Diesel,Automatic,831000.0
Hyundai,2020,59917,Diesel,Manual,912000.0
Tata,2012,101646,CNG,Manual,457000.0
Hyundai,2012,88122,Petrol,Automatic,630000.0
Maruti,2015,29519,Diesel,Manual,666000.0
Toyota,2020,85910,Petrol,Automatic,1064000.0
Toyota,2017,125430,Diesel,Automatic,951000.0
Toyota,2022,76324,Diesel,Automatic,1164000.0
Tata,2014,10408,Petrol,Automatic,706000.0
Maruti,2012,64379,Diesel,Manual,466000.0
Tata,2015,30053,Diesel,Manual,617000.0
Tata,2023,145518,CNG,Manual,875000.0
Maruti,2020,136994,Diesel,Manual,806000.0
Maruti,2014,103723,Diesel,Manual,564000.0
Maruti,2023,56356,Diesel,Manual,952000.0
Maruti,2020,15789,CNG,Manual,788000.0
Toyota,2018,102720,Petrol,Automatic,954000.0
Honda,2023,71656,CNG,Manual,914000.0
Honda,2015,49028,CNG,Manual,673000.0
Maruti,2014,69484,Petrol,Automatic,704000.0
Honda,2021,37154,CNG,Manual,899000.0
Honda,2016,7336,Petrol,Manual,761000.0
Maruti,2016,108677,CNG,Automatic,701000.0
Honda,2014,72779,Petrol,Manual,660000.0
Tata,2023,24029,Diesel,Manual,994000.0
Hyundai,2020,64201,CNG,Manual,835000.0
Hyundai,2015,37265,CNG,Automatic,793000.0
Maruti,2022,107916,CNG,Manual,785000.0
Toyota,2016,51197,CNG,Manual,739000.0
Maruti,2015,130733,Diesel,Automatic,764000.0
Toyota,2016,76907,CNG,Manual,712000.0
Hyundai,2018,133876,Diesel,Automatic,920000.0
Maruti,2020,69435,Diesel,Automatic,983000.0
Mahindra,2018,45631,Diesel,Manual,832000.0
Tata,2016,134038,Diesel,Automatic,830000.0
Honda,2021,25103,Petrol,Automatic,1078000.0
Toyota,2021,69772,Petrol,Manual,900000.0
Mahindra,2018,131108,CNG,Automatic,849000.0
Honda,2021,19382,Petrol,Automatic,1102000.0
Honda,2016,89291,Petrol,Manual,764000.0
Maruti,2014,106195,CNG,Manual,529000.0
Honda,2018,139828,CNG,Manual,663000.0
Tata,2022,25609,CNG,Automatic,1030000.0
Mahindra,2022,80683,Petrol,Manual,954000.0
Honda,2013,129714,Petrol,Automatic,724000.0
Maruti,2023,135330,CNG,Automatic,1002000.0
Tata,2020,76315,Diesel,Automatic,1029000.0
Hyundai,2021,82834,CNG,Automatic,970000.0
Mahindra,2021,131205,Diesel,Automatic,1049000.0
Honda,2023,19153,Diesel,Automatic,1203000.0
Maruti,2012,81325,CNG,Automatic,579000.0
Hyundai,2017,149071,CNG,Manual,670000.0
Hyundai,2018,60318,CNG,Manual,702000.0
Toyota,2019,136886,Petrol,Automatic,1020000.0
Tata,2021,120033,Diesel,Automatic,1007000.0
Honda,2020,81077,Petrol,Manual,867000.0
Maruti,2013,95474,Petrol,Automatic,600000.0
Toyota,2022,138515,CNG,Manual,942000.0
Tata,2021,78319,Petrol,Manual,884000.0
Toyota,2013,130885,CNG,Manual,549000.0
Mahindra,2016,114777,Diesel,Automatic,809000.0
Tata,2016,22368,CNG,Automatic,797000.0
Tata,2017,96751,Petrol,Manual,715000.0
Honda,2014,32306,Petrol,Manual,600000.0
Tata,2019,42219,CNG,Manual,716000.0
Toyota,2012,65279,CNG,Manual,544000.0
Tata,2017,58028,Petrol,Manual,666000.0
Honda,2015,109263,Diesel,Automatic,821000.0
Honda,2012,5126,Diesel,Manual,565000.0
Mahindra,2018,57329,CNG,Automatic,889000.0
Toyota,2020,32632,Diesel,Manual,984000.0
Hyundai,2015,114945,Petrol,Automatic,712000.0
Hyundai,2015,60176,CNG,Automatic,804000.0
Tata,2017,139869,Petrol,Automatic,850000.0
Mahindra,2023,149790,Petrol,Automatic,1033000.0
Maruti,2014,39560,Diesel,Automatic,795000.0
Tata,2023,81589,CNG,Automatic,1022000.0
Mahindra,2017,27116,CNG,Manual,702000.0
Toyota,2018,137717,Diesel,Automatic,966000.0
Toyota,2022,129085,Petrol,Manual,1022000.0
Toyota,2021,122718,Petrol,Automatic,1060000.0
Toyota,2021,24256,Petrol,Automatic,1122000.0
Toyota,2014,105158,Petrol,Manual,627000.0
Mahindra,2018,124719,CNG,Automatic,893000.0
Mahindra,2014,73244,CNG,Manual,610000.0
Honda,2013,147766,Diesel,Manual,645000.0
Hyundai,2023,61264,Diesel,Manual,1038000.0
Toyota,2021,62545,CNG,Manual,900000.0
Maruti,2015,44224,CNG,Automatic,743000.0
Mahindra,2023,102945,Petrol,Automatic,1078000.0
Maruti,2019,18224,Petrol,Manual,810000.0
Maruti,2020,45738,Diesel,Automatic,1031000.0
Maruti,2018,68731,CNG,Automatic,806000.0
Honda,2012,144649,Diesel,Manual,586000.0
Mahindra,2014,13070,CNG,Automatic,754000.0
Maruti,2023,131161,Petrol,Manual,791000.0
Toyota,2020,13666,Diesel,Manual,1007000.0
Tata,2023,62761,Diesel,Automatic,1116000.0
Maruti,2012,41368,CNG,Automatic,573000.0
Honda,2020,142855,Petrol,Automatic,953000.0
Mahindra,2019,46914,Diesel,Manual,842000.0
Honda,2012,132738,Petrol,Manual,528000.0
Maruti,2017,72526,Diesel,Automatic,823000.0
Mahindra,2016,24956,Petrol,Automatic,843000.0
Tata,2017,51240,CNG,Automatic,832000.0
